Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-04 00:00:00+09:00,4296.628861497545,4375.400390625,4053.153226012684,4375.400390625,74195000,0.0,0.0
2000-01-05 00:00:00+09:00,4153.407293066756,4339.594516549059,3952.8979754704305,3995.8642578125,74680000,0.0,0.0
2000-01-06 00:00:00+09:00,4117.603158102341,4139.086305014179,3995.865325601924,4024.509521484375,54390000,0.0,0.0
2000-01-07 00:00:00+09:00,3981.541819438177,4060.3133302543997,3838.320890681408,3967.2197265625,40305000,0.0,0.0
2000-01-10 00:00:00+09:00,4010.187933275563,4131.92578125,3995.8658335138643,4131.92578125,46880000,0.0,0.0
2000-01-11 00:00:00+09:00,4167.731030654246,4368.240427318024,4131.92578125,4131.92578125,59745000,0.0,0.0
2000-01-12 00:00:00+09:00,4017.3495342548076,4110.443195476399,4010.1884833916083,4096.12109375,29220000,0.0,0.0
2000-01-13 00:00:00+09:00,4010.1876847088442,4110.442376826565,3981.543486960924,4088.959228515625,41190000,0.0,0.0
2000-01-14 00:00:00+09:00,4096.119582841981,4210.696354390009,4067.4753899549746,4174.89111328125,49375000,0.0,0.0
2000-01-17 00:00:00+09:00,4296.6311795594265,4425.530114946208,4239.342763831967,4368.24169921875,63505000,0.0,0.0
2000-01-18 00:00:00+09:00,4411.208011014344,4411.208011014344,4282.3090756275615,4368.24169921875,45260000,0.0,0.0
2000-01-19 00:00:00+09:00,4296.629548552853,4325.273745543204,4267.9853515625,4267.9853515625,40205000,0.0,0.0
2000-01-20 00:00:00+09:00,4196.374560223509,4325.2734375,4167.730365273179,4325.2734375,37315000,0.0,0.0
2000-01-21 00:00:00+09:00,4260.823625837053,4282.306770169005,4210.6962890625,4210.6962890625,32535000,0.0,0.0
2000-01-24 00:00:00+09:00,4153.40684964364,4225.0173125685305,4081.79638671875,4081.79638671875,34355000,0.0,0.0
2000-01-25 00:00:00+09:00,3952.8982436236215,4038.8308141371785,3895.6098632812505,3895.60986328125,44250000,0.0,0.0
2000-01-26 00:00:00+09:00,3938.577225956604,3952.899324960082,3874.12778044095,3924.255126953125,29285000,0.0,0.0
2000-01-27 00:00:00+09:00,3924.254488295403,4024.5091650036798,3888.449246613876,3952.898681640625,27900000,0.0,0.0
2000-01-28 00:00:00+09:00,4038.829695554123,4210.6947889819585,3967.2192399591922,4167.728515625,38315000,0.0,0.0
