no,address,latitude,longitude
1,서울특별시 중랑구 신내로19길 42,37.6141017641988,127.091034702557
2,서울특별시 성북구 오패산로 90,37.6099470914336,127.036913604861
3,서울특별시 노원구 노원로1길 95,37.6202886019719,127.082162209943
4,서울특별시 서대문구 포방터10길 33,37.6024550886221,126.951392730744
5,서울특별시 강남구 개포로109길 21,37.4956264931259,127.077191033018
6,서울특별시 관악구 당곡2길 109-11,37.492866446657,126.934131338844
7,서울특별시 구로구 경인로 248-13,37.4975377727092,126.848288967665
8,서울특별시 영등포구 신풍로 77,37.5004196071802,126.911544544308
9,서울특별시 동작구 만양로 6,37.5049818982281,126.946788478219
10,서울특별시 서초구 잠원로 85,37.5118200914235,127.006237310492
11,서울특별시 강남구 선릉로69길 19,37.4981263526043,127.050691041401
12,서울특별시 동작구 흑석한강로 27,37.5040994188129,126.966284444741
13,서울특별시 금천구 독산로85길 36,37.4728402666863,126.901161544745
14,서울특별시 강남구 삼성로51길 37,37.4934361918055,127.057697682666
15,서울특별시 서초구 잠원로 117,37.5145189166529,127.006995721647
16,서울특별시 동작구 사당로23길 112,37.4877957329993,126.973472134901
17,서울특별시 동작구 동작대로29길 118,37.4910414805382,126.977148222194
18,서울특별시 동작구 서달로 91,37.5031656177406,126.958890979647
19,서울특별시 송파구 올림픽로 135,37.516733284228,127.089889095677
20,서울특별시 송파구 올림픽로 435,37.5213592954462,127.104971745978
21,서울특별시 동작구 흑석한강로 27,37.5040994188129,126.966284444741
22,서울특별시 강남구 도산대로96길 39,37.5230042633715,127.050463180352
23,서울특별시 영등포구 도영로 66,37.5103949442095,126.900176553265
24,서울특별시 금천구 시흥대로 165,37.4479033151811,126.900722652942
25,서울특별시 영등포구 여의대방로 25,37.4947116756868,126.90897844388
26,서울특별시 영등포구 여의대방로 25,37.4947116756868,126.90897844388
27,서울특별시 강남구 도산대로96길 39,37.5230042633715,127.050463180352
28,서울특별시 금천구 금하로 750,37.4490734382987,126.913658594513
29,서울특별시 강남구 강남대로 256,37.4864868587499,127.033537582361
30,서울특별시 영등포구 당산로 214,37.5329312320335,126.902834034778
31,서울특별시 관악구 성현로 80,37.4898474387668,126.952985510916
32,서울특별시 구로구 항동로 43,37.4789423906036,126.824571211875
33,서울특별시 동작구 매봉로 134,37.5101470412624,126.951490881181
34,서울특별시 서초구 효령로 391,37.4893225494193,127.024591003338
35,서울특별시 금천구 시흥대로 165,37.4479033151811,126.900722652942
36,서울특별시 금천구 독산로10길 96,37.4496340433581,126.910501928991
37,서울특별시 금천구 시흥대로 165,37.4479033151811,126.900722652942
38,서울특별시 영등포구 도신로29길 28,37.5117542837524,126.902325704642
39,서울특별시 영등포구 도신로29길 28,37.5117542837524,126.902325704642
40,서울특별시 송파구 올림픽로 99,37.5151252476966,127.078130036923
41,서울특별시 중구 마른내로 72,37.563546252348,126.995814962096
42,서울특별시 종로구 종로58가길 27,37.5723925579397,127.016735679084
43,서울특별시 성북구 한천로 713,37.6212990641092,127.051847478882
44,서울특별시 도봉구 우이천로32길 67,37.6507961246108,127.025136742052
45,서울특별시 성동구 마장로 271,37.5664842722046,127.040276642646
46,서울특별시 성동구 마장로 271,37.5664842722046,127.040276642646
47,서울특별시 동대문구 한천로58길 47,37.6007507501532,127.068769452719
48,서울특별시 중랑구 사가정로71길 19,37.5808368956261,127.095052598876
49,서울특별시 성북구 월곡로14길 26,37.6002340166717,127.042651944006
50,서울특별시 성북구 화랑로 235,37.6105429131678,127.055357426852
51,서울특별시 성북구 종암로 167,37.6050587642973,127.030990445726
52,서울특별시 중랑구 신내로7길 20,37.6013911865577,127.096099061687
53,서울특별시 성북구 길음로 33,37.6050832927232,127.022078590713
54,서울특별시 동대문구 왕산로 72,37.5777282391894,127.031371717206
55,서울특별시 성북구 길음로9길 40,37.6058494237909,127.020985165043
56,서울특별시 동대문구 정릉천동로 36,37.5754722861294,127.037112346823
57,서울특별시 성북구 성북로4길 52,37.5944725333435,127.012706037821
58,서울특별시 성동구 왕십리로 36,37.5404656250355,127.044276890259
59,서울특별시 성북구 북악산로 844,37.5973859824567,127.019322962211
60,서울특별시 동대문구 답십리로41길 33,37.5732224094682,127.053545301946
61,서울특별시 성북구 장월로1길 28,37.6087724936926,127.045611958623
62,서울특별시 도봉구 도당로2길 16,37.6592358007188,127.035947597886
63,서울특별시 성동구 행당로 82,37.5548088817349,127.027399715208
64,서울특별시 중구 난계로 169,37.5665748058672,127.023261376536
65,서울특별시 성동구 무학로 50,37.5691096001774,127.032672663162
66,서울특별시 도봉구 우이천로 367,37.6478841889324,127.024070387404
67,서울특별시 성동구 마장로 271,37.5664842722046,127.040276642646
68,서울특별시 용산구 이촌로88길 30,37.516879547214,126.975899020674
69,서울특별시 동대문구 답십리로 292-3,37.571742008574,127.073001165931
70,서울특별시 동대문구 장안벚꽃로 107,37.5710568281709,127.075113657819
71,서울특별시 성동구 난계로 84,37.5591314196289,127.024079949145
72,서울특별시 강동구 고덕로 333,37.5561770852501,127.159176546352
73,서울특별시 강동구 고덕로 360,37.5566829127291,127.169527259453
74,서울특별시 강동구 고덕로 360,37.5566829127291,127.169527259453
75,서울특별시 강동구 구천면로 278,37.5446471437832,127.133881482323
76,서울특별시 송파구 중대로 24,37.488125746629,127.111059136873
77,서울특별시 송파구 문정로 83,37.4892043157404,127.130231968818
78,서울특별시 강동구 고덕로 333,37.5561770852501,127.159176546352
79,서울특별시 송파구 동남로 193,37.4946982310161,127.129223095507
80,서울특별시 강동구 고덕로 131,37.5551667468122,127.143838799591
