no,address,latitude,longitude
21590,서울특별시 중랑구 신내로 155,37.6138589784362,127.094322735978
21591,서울특별시 용산구 이촌로87길 21,37.5203009135294,126.978638484584
21592,서울특별시 동대문구 회기로 14,37.5910088520518,127.037909706614
21593,서울특별시 도봉구 시루봉로 71,37.6571605667278,127.027593335959
21594,서울특별시 도봉구 덕릉로66길 17,37.6437121231525,127.053952436142
21595,서울특별시 광진구 아차산로 345,37.5375052411306,127.08158295574
21596,서울특별시 성북구 북악산로 913,37.5965594834138,127.022954666928
21597,서울특별시 중랑구 동일로109가길 5,37.5922400860881,127.078706865845
21598,서울특별시 도봉구 도당로 116,37.6666197978974,127.039853975282
21599,서울특별시 도봉구 마들로 616,37.6651079698533,127.046910486399
21600,서울특별시 동대문구 천호대로47길 62,37.5746098615776,127.04415797237
21601,서울특별시 중랑구 신내로7가길 31,37.602073131276,127.093424324951
21602,서울특별시 성북구 정릉로 402-16,37.6038594798386,127.027630825882
21603,서울특별시 구로구 가마산로 97,37.4863150105277,126.877388690727
21604,서울특별시 마포구 독막로28길 10,37.5469550731394,126.936227261433
21605,서울특별시 강서구 양천로69길 58,37.5552719720298,126.872960399991
21606,서울특별시 은평구 통일로 630,37.6028449679876,126.935955809882
21607,서울특별시 강서구 우현로 67,37.5475461876358,126.837207520139
21608,서울특별시 강서구 화곡로 186-28,37.5414015334383,126.842098977297
21609,서울특별시 서대문구 통일로 510,37.594570187466,126.941167410528
21610,서울특별시 구로구 가마산로 285,37.497105116553,126.891686167261
21611,서울특별시 강서구 수명로1길 16,37.5520478232459,126.822560908166
21612,서울특별시 강서구 강서로47다길 10-3,37.5520876709209,126.833975745127
21613,서울특별시 서대문구 독립문공원길 17,37.5723811886189,126.955198449007
21614,서울특별시 노원구 동일로214길 21,37.6504328878085,127.062759447938
21615,서울특별시 구로구 신도림로 16,37.5051228166042,126.88219103785
21616,서울특별시 구로구 신도림로 16,37.5051228166042,126.88219103785
21617,서울특별시 양천구 목동동로 258,37.5253413877993,126.875142725618
21618,서울특별시 구로구 디지털로31길 120,37.4884700177382,126.890773027393
21619,서울특별시 양천구 목동동로 50,37.5120947920338,126.860291121004
21620,서울특별시 마포구 마포대로 195,37.5524339233654,126.95422378666
21621,서울특별시 마포구 마포대로 195,37.5524339233654,126.95422378666
21622,서울특별시 양천구 목동중앙남로3가길 59,37.538635701516,126.863932161199
21623,서울특별시 은평구 백련산로 36,37.5884566532295,126.924767525406
21624,서울특별시 은평구 백련산로 37,37.5894133333452,126.92227448589
21625,서울특별시 은평구 은평로 220,37.6005343844723,126.932098856535
21626,서울특별시 마포구 마포대로 167,37.5502187192036,126.953735814082
21627,서울특별시 서대문구 가재울로 45,37.5756614284394,126.920851657864
21628,서울특별시 서대문구 수색로6길 43,37.5725656308396,126.912456683589
21629,서울특별시 서대문구 북아현로1가길 20,37.5580680839066,126.951399056142
21630,서울특별시 마포구 독막로28길 10,37.5469550731394,126.936227261433
21631,서울특별시 송파구 송파대로 345,37.4976145695004,127.102531804188
21632,서울특별시 송파구 문정로 83,37.4892043157404,127.130231968818
21633,서울특별시 송파구 중대로 24,37.488125746629,127.111059136873
21634,서울특별시 강동구 명일로 172,37.5341381859815,127.145070787029
21635,서울특별시 송파구 위례성대로 58,37.5147607136931,127.119120258928
21636,서울특별시 강동구 고덕로 360,37.5566829127291,127.169527259453
21637,서울특별시 강동구 고덕로 360,37.5566829127291,127.169527259453
21638,서울특별시 강동구 고덕로 333,37.5561770852501,127.159176546352
21639,서울특별시 강동구 천호대로 1077,37.5372566499573,127.131437557377
21640,서울특별시 강동구 상암로51길 61,37.5486614973928,127.146152363744
21641,서울특별시 강동구 양재대로 1650,37.554378854214,127.145944201844
21642,서울특별시 강동구 양재대로 1650,37.554378854214,127.145944201844
21643,서울특별시 송파구 오금로 405,37.4982621819191,127.135162341976
21644,서울특별시 송파구 오금로56길 16,37.4929094146795,127.141981752976
21645,서울특별시 송파구 양산로8길 8,37.4909161360666,127.144566964221
21646,서울특별시 송파구 양산로8길 8,37.4909161360666,127.144566964221
21647,서울특별시 강동구 고덕로 130,37.5542066727371,127.140901062073
21648,서울특별시 송파구 오금로32길 42,37.5033642528101,127.117700794714
21649,서울특별시 송파구 동남로 234,37.4973590886004,127.133352250049
21650,서울특별시 영등포구 당산로 214,37.5329312320335,126.902834034778
21651,서울특별시 서초구 사임당로 137,37.4916904995573,127.02453241416
21652,서울특별시 서초구 서운로 197,37.4994826682747,127.0208201079
21653,서울특별시 영등포구 국회대로54길 10,37.5236586861947,126.906430209934
21654,서울특별시 영등포구 양산로 177,37.524463518615,126.903148310077
21655,서울특별시 영등포구 도신로29길 28,37.5117542837524,126.902325704642
21656,서울특별시 강남구 광평로19길 15,37.485530536641,127.084797907539
21657,서울특별시 강남구 일원로14길 25,37.484761123247,127.080874756987
21658,서울특별시 관악구 관악로30길 12,37.4841357625535,126.960607343765
21659,서울특별시 관악구 관악로30길 27,37.4889663493891,126.960643252066
21660,서울특별시 서초구 잠원로 88,37.5122489378005,127.0082261259
21661,서울특별시 서초구 사평대로 73,37.4987113736467,126.992373932438
21662,서울특별시 영등포구 선유동2로 29,37.5324321877995,126.895879717489
21663,서울특별시 동작구 상도로55길 47,37.4983400860939,126.958850538909
21664,서울특별시 강남구 광평로19길 10,37.485485349127,127.086601738647
21665,서울특별시 동작구 현충로 52,37.5096317962488,126.962204212791
21666,서울특별시 서초구 방배선행길 1,37.4741083994871,126.982598121483
21667,서울특별시 서초구 서초대로1길 30,37.4892328804823,126.983614309346
